low,high,volume,close,time,percentChange,percentVol,open
21.93,22.92,5353928,22.33,2020-03-04,0.004950495049504955,0.2597302766855707,22.52
21.8300,24.4300,4250059,22.2200,2020-03-03,-0.06363253265908142,-0.18705958368847175,23.6700
22.42,24.4,5228008,23.73,2020-03-02,-0.01576109498133549,-0.28252645816873534,24.37
22.8900,24.2600,7286691,24.1100,2020-02-28,0.007943143812708886,0.16257071927042288,23.0500
23.5200,25.1100,6267740,23.9200,2020-02-27,-0.05454545454545445,0.268990343489929,24.4900
25.25,26.7299,4939155,25.3,2020-02-26,-0.03361344537815125,0.11460003497825144,26.53
26.11,28.49,4431325,26.18,2020-02-25,-0.06998223801065717,0.6552700103582196,28.26
27.71,28.3,2677101,28.15,2020-02-24,-0.037606837606837695,-0.34192647749999505,27.97
29.0,30.08,4068088,29.25,2020-02-21,-0.03782894736842102,0.4297305114690515,30.03
29.35,30.53,2845353,30.4,2020-02-20,0.020134228187919323,-0.021880012457880738,29.58
29.5800,30.0750,2909002,29.8000,2020-02-19,0.000671591672263272,-0.14275240236917264,29.8100
29.6200,30.9500,3393421,29.7800,2020-02-18,-0.033744321868916294,-0.6847251614595944,30.6800
30.0000,31.0000,10763374,30.8200,2020-02-14,0.005874673629242766,0.5934912961356922,30.6500
30.5600,31.5400,6754586,30.6400,2020-02-13,-0.03647798742138364,0.6907692608069431,31.4200
31.4800,32.3100,3994978,31.8000,2020-02-12,-0.002822201317027262,-0.009728510432611026,32.2500
31.46,32.44,4034225,31.89,2020-02-11,0.009177215189873467,-0.1302514821443086,31.76
31.4100,32.5900,4638381,31.6000,2020-02-10,-0.033639143730886945,-0.3324857452512593,32.4900
32.465,35.75,6948737,32.7,2020-02-07,-0.055732024256425094,0.2523947616953479,35.5
34.31,34.81,5548360,34.63,2020-02-06,0.003768115942029082,1.1689556890150774,34.74
33.4,34.95,2558079,34.5,2020-02-05,0.04355716878402904,-0.08947241218645519,33.64
32.25,33.09,2809447,33.06,2020-02-04,0.0276655268884054,0.04419680256781744,32.92
31.89,32.76,2690534,32.17,2020-02-03,0.009096612296110473,-0.08675156494283653,31.98
31.38,32.71,2946114,31.88,2020-01-31,-0.018472906403940836,-0.32325809445949916,32.29
31.5500,33.0300,4353379,32.4800,2020-01-30,-0.018731117824773547,0.9252678135894472,32.5800
33.0650,34.2500,2261181,33.1000,2020-01-29,-0.02589758681577381,0.23980015648414033,34.1800
33.38,34.1,1823827,33.98,2020-01-28,0.013118664281454917,0.011373485637855119,33.84
33.21,33.88,1803317,33.54,2020-01-27,-0.027262180974477856,0.0060626516778710116,33.24
34.2000,35.8200,1792450,34.4800,2020-01-24,-0.030371203599550256,-0.05168099192967268,35.6200
34.59,35.71,1890134,35.56,2020-01-23,0.006510048117747136,-0.7104382520411889,35.44
34.8411,35.7300,6527568,35.3300,2020-01-22,0.010005717552887372,-0.15197259318298295,35.1000
34.8500,36.9700,7697355,34.9800,2020-01-21,-0.017415730337078772,2.330850203900771,35.4500
34.8200,35.6850,2310928,35.6000,2020-01-17,0.007357102433503071,0.20910472188155316,35.4300
34.7400,35.6210,1911272,35.3400,2020-01-16,0.020207852193995457,-0.17881674494223532,34.8300
34.4800,35.4100,2327461,34.6400,2020-01-15,-0.010568409025992542,-0.3494920083299957,34.7700
34.9500,35.9200,3577913,35.0100,2020-01-14,-0.015189873417721489,-0.061815732248600264,35.4900
35.11,35.99,3813657,35.55,2020-01-13,-0.00531617235590387,0.40847955840526873,35.71
35.57,36.47,2707641,35.74,2020-01-10,-0.013252346769740408,-0.1351945511310555,36.4
35.57,36.51,3130925,36.22,2020-01-09,-0.006582556226001124,-0.02757516284856798,35.57
35.61,36.64,3219709,36.46,2020-01-08,0.01701534170153418,0.06117956484409626,35.88
35.2200,36.2500,3034085,35.8500,2020-01-07,0.014718369657515051,-0.27928921949969254,35.3500
34.6300,35.5000,4209851,35.3300,2020-01-06,0.0028384899233608873,0.04054461214860283,34.8100
35.2200,36.2600,4045815,35.2300,2020-01-03,-0.04162132752992387,0.3805165606436518,36.1100
36.28,38.37,2930653,36.76,2020-01-02,-0.022080340516094865,0.24634653046383104,38.03
36.3500,37.7350,2351395,37.5900,2019-12-31,0.02761071623838185,-0.2723455440740319,36.3800
36.4000,37.0150,3231472,36.5800,2019-12-30,-0.0019099590723056226,0.47614440439809425,36.7000
36.5200,37.3800,2189130,36.6500,2019-12-27,-0.014784946236559238,0.7593491518013573,37.3200
37.1,37.73,1244284,37.2,2019-12-26,-0.005613472333600433,0.5324336240680028,37.49
37.305,37.94,811966,37.41,2019-12-24,-0.0029317697228147255,-0.6528298756676998,37.66
37.21,37.705,2338813,37.52,2019-12-23,-0.0015965939329429801,-0.5568215710803996,37.61
37.2100,38.1600,5277362,37.5800,2019-12-20,-0.004766949152542388,1.2609129657484686,38.1500
37.26,37.9,2334173,37.76,2019-12-19,0.0031880977683313994,-0.3390341892781962,37.51
36.9400,37.9000,3531458,37.6400,2019-12-18,0.019501625135427858,0.23298252645890116,37.0300
36.1820,37.0400,2864159,36.9200,2019-12-17,-0.0027012425715829957,-0.5499422452706882,36.9300
36.98,38.19,6363981,37.02,2019-12-16,-0.013326226012793208,1.0901832692876146,37.86
36.7600,37.8190,3044700,37.5200,2019-12-13,0.0032085561497328108,-0.23182403631092874,37.5600
35.6600,37.5900,3963545,37.4000,2019-12-12,0.03687274743554192,0.3519912949599797,35.9600
35.5000,36.2800,2931635,36.0700,2019-12-11,0.005856107083100914,-0.17738948021771028,35.9500
35.8000,36.6900,3563819,35.8600,2019-12-10,-0.013751375137513788,-0.4066482414151925,36.1900
36.2500,37.6200,6006250,36.3600,2019-12-09,-0.02676659528907921,0.0997217120449303,37.3600
