low,high,volume,close,time,percentChange,percentVol,open
102.28,109.8,12485925,102.81,2020-03-12,-0.1285072476053234,0.4782400479252895,109.65
116.3838,122.58,8446480,117.97,2020-03-11,-0.054500280516149746,-0.25933181425771,121.01
115.7600,124.8800,11403865,124.7700,2020-03-10,0.05907817672523552,0.06078942308613566,122.7800
117.2800,122.4100,10750357,117.8100,2020-03-09,-0.0776638221247945,0.312215342644667,120.1600
124.52,128.33,8192525,127.73,2020-03-06,-0.01404862987263611,0.5045426305366953,126.7
128.45,132.29,5445193,129.55,2020-03-05,-0.03479362241096695,0.09014444252249487,130.5
129.0,134.28,4994928,134.22,2020-03-04,0.04127230411171445,-0.3672011645186669,131.58
127.8,136.095,7893390,128.9,2020-03-03,-0.04020848845867464,-0.07452024400129864,134.48
127.9500,134.4400,8528971,134.3000,2020-03-02,0.0318862850557049,-0.34439109260528444,130.7500
126.36,131.09,13009236,130.15,2020-02-28,-0.022237247389377268,0.5478151264803413,129.98
133.0100,138.6900,8404903,133.1100,2020-02-27,-0.04751341681574228,0.5542501511736064,137.2400
139.6,144.06,5407690,139.75,2020-02-26,-0.013831063439418534,-0.12931955836195785,142.9
141.261,147.07,6210878,141.71,2020-02-25,-0.03223383186505502,0.14003988290637137,146.51
145.3800,148.0500,5447948,146.4300,2020-02-24,-0.022757608115323014,0.5403869099792464,145.5100
148.84,151.04,3536740,149.84,2020-02-21,-0.009125777013622494,0.22782880509970038,151.04
149.51,151.62,2880483,151.22,2020-02-20,0.0023863184409385063,0.05400041347942941,150.81
150.3100,151.8900,2732905,150.8600,2020-02-19,-0.0015883520847119748,-0.1825085446231841,151.5400
149.6400,151.3800,3343038,151.1000,2020-02-18,0.002654280026542777,-0.4515186918762851,149.7900
149.77,154.56,6095081,150.7,2020-02-14,-0.023394465685956933,0.595672447226355,154.42
153.4100,154.8300,3819757,154.3100,2020-02-13,-0.006438735432361065,-0.1392663288410092,154.3700
153.52,155.6,4437792,155.31,2020-02-12,0.011923377638780375,0.1576121916519675,153.75
152.7304,155.2200,3833574,153.4800,2020-02-11,-0.006151654471281631,-0.2680601036400013,155.1200
151.5800,154.4400,5237553,154.4300,2020-02-10,0.006648849488299469,-0.18348901318610977,152.9700
152.9200,155.5400,6414553,153.4100,2020-02-07,-0.021370247512120355,-0.2358509401654012,154.5500
155.4200,158.7500,8394374,156.7600,2020-02-06,0.0027505916970509414,-0.4162349821422039,156.8200
150.1500,157.4400,14379714,156.3300,2020-02-05,0.048420629065790255,1.5588045625211309,150.2100
146.88,149.38,5619700,149.11,2020-02-04,0.019416148219046914,-0.3676076761672369,147.78
143.9000,147.2800,8886414,146.2700,2020-02-03,0.01767202393376488,-0.5319771731790226,144.2500
140.7900,144.0500,18987138,143.7300,2020-01-31,0.05088835270892722,2.7920898543210577,142.9000
134.9700,136.9700,5007038,136.7700,2020-01-30,-0.006681676229210454,0.6399371280323622,136.7600
137.595,139.58,3053189,137.69,2020-01-29,-0.013328556073092135,-0.11476109017106406,139.17
138.75,140.47,3449000,139.55,2020-01-28,0.006708988601933363,-0.17193779041599022,139.5
138.1,140.069,4165146,138.62,2020-01-27,-0.013801935116676156,-0.2534633426606817,138.5
140.46,143.92,5579292,140.56,2020-01-24,-0.016168544830965192,-0.013267052307727178,143.39
142.15,144.4097,5654308,142.87,2020-01-23,-0.007088748349433516,-0.6565851286016816,144.2
142.55,145.79,16464948,143.89,2020-01-22,0.033915355320830676,1.3089841433361302,143.32
137.6,139.35,7130819,139.17,2020-01-21,0.006217916275034208,0.26832099811979226,137.81
136.16,138.33,5622251,138.31,2020-01-17,0.002391650963907921,0.3014783226262854,136.54
137.0100,138.1900,4319896,137.9800,2020-01-16,0.009954618650270808,0.06780344330408083,137.3200
135.71,138.055,4045591,136.62,2020-01-15,0.005890148726255484,0.09905926663656572,136.0
135.55,137.139,3680958,135.82,2020-01-14,-0.005710102489019042,0.16381306312074284,136.28
135.0700,136.6400,3162843,136.6000,2020-01-13,-0.0006584241714829853,-0.0284312394367755,135.4800
136.31,137.87,3255398,136.69,2020-01-10,-0.0003656574520989331,-0.12736758048212204,137.0
135.31,136.79,3730549,136.74,2020-01-09,0.010568324587983291,-0.1416037268704302,135.74
133.9200,135.8600,4345952,135.3100,2020-01-08,0.008346374543557689,0.3300167217939083,134.5100
133.4,134.96,3267592,134.19,2020-01-07,0.0006711409395974144,0.3496155510984962,133.69
133.2,134.24,2421128,134.1,2020-01-06,-0.001786511835640936,0.020079461716389968,133.42
133.56,134.86,2373470,134.34,2020-01-03,-0.00797518830305699,-0.24614915033090767,133.57
134.7701,135.9200,3148461,135.4200,2020-01-02,0.010295434198746678,-0.166523450405347,135.0000
132.4,134.12,3777504,134.04,2019-12-31,0.009261350801897272,-0.0828916934474957,132.53
132.5,135.3,4118929,132.81,2019-12-30,-0.018185850521179936,0.4966032443313222,135.2
134.8700,135.7500,2752185,135.2700,2019-12-27,0.0026684456304204573,0.29231555924107866,135.0000
134.65,135.3055,2129654,134.91,2019-12-26,-0.0005185953474587945,0.7716305059450772,134.98
134.6100,135.6200,1202087,134.9800,2019-12-24,-0.004205090372556453,-0.571166876786824,135.6100
135.0000,136.1500,2803158,135.5500,2019-12-23,-0.0002950070064163812,-0.6058429262214138,135.7800
134.95,136.42,7111779,135.59,2019-12-20,0.0076545778834720135,0.839335325491259,135.74
134.19,134.725,3866494,134.56,2019-12-19,0.001115988393720846,0.2465247005063802,134.46
134.1504,135.0,3101819,134.41,2019-12-18,0.0014155863507674393,0.06694893274802505,134.55
133.4600,134.6900,2907186,134.2200,2019-12-17,0.0006709908297919398,-0.0465816876687315,134.2800
133.85,135.45,3049224,134.13,2019-12-16,-0.0005960807689442404,0.20286393921821566,134.94
134.0100,135.5000,2534970,134.2100,2019-12-13,-0.008202778598876637,-0.4745199262951061,134.7500
133.6600,135.6604,4824103,135.3200,2019-12-12,0.01166267942583743,0.30434252428150477,133.7000
133.67,134.51,3698494,133.76,2019-12-11,-0.0011201553282055299,0.06328610995635309,134.11
133.56,134.84,3478362,133.91,2019-12-10,-7.467144563910733e-05,0.17183245685255244,133.92
133.26,134.59,2968310,133.92,2019-12-09,0.005254466296351845,-0.13647606153187342,133.35
132.7,133.89,3437438,133.22,2019-12-06,0.00993101356985826,-0.04391107086116586,132.75
131.6264,133.2400,3595312,131.9100,2019-12-05,-0.0006061065232215723,0.01849390429764286,132.9900
131.9600,133.6800,3530028,131.9900,2019-12-04,-0.0009839539812291909,-0.04802295082497732,132.8600
130.689,132.44,3708102,132.12,2019-12-03,-0.005943871792942534,0.20910600026803072,132.0
132.4800,134.5000,3066813,132.9100,2019-12-02,-0.011454072145779093,0.6802107102843165,134.4500
