MeanAbsError,MeanError,StdError,Date
0.027555315750655264,0.015313205049824747,0.035196854857322664,2020-04-14
0.03197190291540563,0.022909392007654426,0.03805746237864336,2020-04-14
0.034285392501062203,0.012404244713350505,0.045538436174464944,2020-04-14
0.025085675884589927,0.020089437741461328,0.02574870443586777,2020-04-14
0.032732114999548007,0.01379407407799182,0.04192654742706568,2020-04-14
0.025182967304879057,0.00758023984690243,0.03195626737046972,2020-04-14
0.03143479500311284,0.009987164015538107,0.043208534155701125,2020-04-15
0.021280987200347358,0.003577305758414785,0.031943595224132065,2020-04-17
0.03348884743954116,0.019812637998823258,0.0410245436253815,2020-04-26
0.033990803801645625,0.011552074269308064,0.042745257637613526,2020-04-26
0.02817072590786106,0.021201938565371614,0.03564278438047759,2020-04-26
0.019892865939908345,0.004289786654983164,0.02707949067288085,2020-04-26
0.03027516897433992,0.0159065508717972,0.038529531668902856,2020-04-26
0.031004094994701324,0.002637840371599537,0.03843438383693235,2020-04-26
0.03661447147282307,0.031091586518520807,0.03471600597384288,2020-04-26
0.04516787600865526,0.0331474487261758,0.04733754206317548,2020-04-26
0.018401048575137646,0.011209007588725792,0.022734758544647828,2020-04-26
0.04643590611683218,0.02722174686783908,0.05270776570075317,2020-04-26
0.0394790804679754,0.03810143321015149,0.03101131085541521,2020-04-26
0.031104939985575567,0.016088744880959443,0.03385590449461754,2020-04-27
0.038663468467095466,0.02400236945438256,0.04011973425672728,2020-04-27
0.028642444412372167,0.011727070373076824,0.0380599269849967,2020-04-27
0.10669297607306098,0.03182076128796412,0.15664804064854834,2020-04-28
0.10538434758907558,0.02807868715639172,0.15517067800269677,2020-04-29
