MeanAbsError,MeanError,StdError,Date
0.03183101272332866,0.023085877617178133,0.0339174203172814,2020-04-14
0.038979883355064984,0.03030104403701593,0.03253692921165307,2020-04-14
0.03643478283105851,0.007961957193564956,0.04782401366126991,2020-04-14
0.033548277889856384,0.01826949511883185,0.04254196021523488,2020-04-14
0.032573604140098036,0.02808978456488931,0.02871420668160157,2020-04-14
0.02398711464707563,0.006077419743302545,0.03354051816189458,2020-04-14
0.027822017014429268,0.015816757031168718,0.033515746231887404,2020-04-14
0.03357422963652156,0.022535087983793133,0.04235060946330802,2020-04-15
0.04098497816615985,0.031076103895007968,0.043227900104894204,2020-04-17
0.02975328149154421,0.013311812364281049,0.03670088930271485,2020-04-17
0.032311681666868965,0.024686033232068208,0.035447772174297024,2020-04-17
0.025855408748894897,0.013042411468552331,0.031001331422810318,2020-04-17
0.027877497848743386,0.015366774788688288,0.03350560213916662,2020-04-26
0.025970752991456587,-0.004939515820659283,0.03685664752975913,2020-04-26
0.028644180875319312,0.015821299598711102,0.03764042223092684,2020-04-26
0.02685428045701324,0.008079888425573244,0.03755215061073787,2020-04-26
0.03607700512322106,0.03044388734043052,0.03138537559475491,2020-04-26
0.042654047784679926,0.032481637947477035,0.04184883046488675,2020-04-26
0.037444445209883985,0.00973254338729575,0.05122216266435043,2020-04-26
0.03948952704560425,0.03299429607405312,0.04028319079809496,2020-04-26
0.026643370573796787,0.014798534065633612,0.033768930869066884,2020-04-26
0.02004431264961094,0.007640574305135556,0.032939973507006136,2020-04-26
0.023380727718206432,0.0022683901647162982,0.033413690192859204,2020-04-26
0.02626911860352296,-0.00024406163661117147,0.031922600555815944,2020-04-26
0.059176288603921524,0.05177628449018492,0.04765698216729678,2020-04-26
0.030948194450133526,0.022872428638262,0.038218509254844345,2020-04-26
0.025859339072641305,-0.006946992854483861,0.03193712638525886,2020-04-26
0.02928550111612245,0.016704662487907668,0.033469841676222516,2020-04-26
0.03743827470097413,0.02746960145476293,0.037272720385121784,2020-04-26
0.023440563166325368,0.001936195724370165,0.0318468358428971,2020-04-26
0.03413902935231592,0.026094828590588915,0.0387921513859764,2020-04-26
0.025900030210339958,0.00759937586939705,0.03415634463525434,2020-04-26
0.02623632887802361,0.017466846825053232,0.026641381909189518,2020-04-26
0.03781961852749812,0.03146015142303748,0.03896196351627474,2020-04-26
0.030140425357958574,0.01921751386713496,0.04040000020499481,2020-04-26
0.028435986318349857,0.013276629599550085,0.033647843260673695,2020-04-26
0.04061086906392887,0.02663018162427563,0.04570939479234979,2020-04-26
0.029712489357431437,0.0072882269911525846,0.04184644088850837,2020-04-26
0.028435542011091577,0.012530576934399162,0.0373998637359388,2020-04-26
0.04601263483897936,0.037424647926772005,0.052326563887724865,2020-04-26
0.03266196267334698,0.01227003499823748,0.04401707509830935,2020-04-26
0.029085929905755193,0.020944758072259758,0.036243380807274315,2020-04-26
0.036078917375680496,0.001141738433186261,0.04747228582255974,2020-04-26
0.02565134040650363,0.02288777257819672,0.023759883862349142,2020-04-26
0.0306916850718143,0.008769868482236967,0.043461321925203585,2020-04-26
0.0267476662453813,0.009867957315355546,0.03052244794386477,2020-04-26
0.02587241477714121,0.017172258119864028,0.035592784181891865,2020-04-26
0.03359553091987225,0.0071283829755546466,0.04667405469918532,2020-04-26
0.04602708674820813,0.04278692710963461,0.04055868177690485,2020-04-26
0.04386239009540412,0.033196689466235704,0.052797669321953254,2020-04-26
