MeanAbsError,MeanError,StdError,Date
0.06535803594719852,0.02539147650822386,0.0834538602447079,2020-04-14
0.07481456608399008,0.04529092414132566,0.09880608533235034,2020-04-14
0.07478035783371904,0.07370003953192072,0.1067595290979049,2020-04-14
0.09304971314507214,0.09304971314507214,0.08575446317203897,2020-04-14
0.067962034951907,0.025279606436304686,0.08707417590494758,2020-04-14
0.07419749041392501,0.04674572383684722,0.08763179648559903,2020-04-14
0.04049918401584306,0.026516934398645,0.05111456119782962,2020-04-15
0.05480015198144191,0.03722140889963962,0.08978770998366406,2020-04-17
0.0646426774692475,0.013198325506309262,0.10665241295412382,2020-04-26
0.07770550220007988,0.0645695816562951,0.09678787777096758,2020-04-26
0.0769407628628797,0.06494990766627591,0.11498678087524634,2020-04-26
0.06574881591347459,0.03678609338954463,0.07717310682657794,2020-04-26
0.08181625790128717,0.07492635863901104,0.08728269680859285,2020-04-26
0.07286284343027012,0.07048720729210795,0.07594102137082405,2020-04-26
