volume,time,open,close,high,low
12633,2020-02-14 15:03:00,324.33,324.4,324.46,324.33
31431,2020-02-14 15:02:00,324.49,324.31,324.49,324.252
29541,2020-02-14 15:01:00,324.46,324.4715,324.53,324.44
18824,2020-02-14 15:00:00,324.39,324.47,324.49,324.37
25509,2020-02-14 14:59:00,324.41,324.3665,324.48,324.31
19295,2020-02-14 14:58:00,324.3,324.39,324.4101,324.3
32462,2020-02-14 14:57:00,324.21,324.2859,324.34,324.2
28208,2020-02-14 14:56:00,324.135,324.18,324.21,324.11
17140,2020-02-14 14:55:00,324.18,324.12,324.19,324.041
16409,2020-02-14 14:54:00,324.213,324.1734,324.25,324.17
22926,2020-02-14 14:53:00,324.17,324.22,324.25,324.13
20324,2020-02-14 14:52:00,324.16,324.16,324.25,324.11
15464,2020-02-14 14:51:00,324.145,324.1699,324.1699,324.0852
17188,2020-02-14 14:50:00,324.1961,324.147,324.21,324.11
27439,2020-02-14 14:49:00,324.09,324.2,324.27,324.07
20058,2020-02-14 14:48:00,324.03,324.06,324.1727,324.02
22798,2020-02-14 14:47:00,324.26,324.05,324.27,324.05
15588,2020-02-14 14:46:00,324.3399,324.22,324.3399,324.22
14220,2020-02-14 14:45:00,324.235,324.34,324.38,324.2001
13894,2020-02-14 14:44:00,324.29,324.231,324.3431,324.231
39246,2020-02-14 14:43:00,324.36,324.2923,324.36,324.2339
13478,2020-02-14 14:42:00,324.43,324.352,324.46,324.33
19887,2020-02-14 14:41:00,324.548,324.3559,324.548,324.35
25424,2020-02-14 14:40:00,324.61,324.5448,324.6225,324.41
57199,2020-02-14 14:39:00,324.56,324.615,324.615,324.51
50115,2020-02-14 14:38:00,324.42,324.57,324.62,324.407
51118,2020-02-14 14:37:00,324.4462,324.354,324.51,324.3001
104739,2020-02-14 14:36:00,324.2057,324.45,324.46,324.15
48267,2020-02-14 14:35:00,324.195,324.19,324.2,324.1026
48013,2020-02-14 14:34:00,323.92,324.23,324.25,323.92
28772,2020-02-14 14:33:00,324.029,323.9,324.0385,323.8499
28641,2020-02-14 14:32:00,324.04,324.02,324.1068,323.98
20861,2020-02-14 14:31:00,324.12,324.06,324.1307,324.03
35075,2020-02-14 14:30:00,324.15,324.13,324.2143,324.12
18832,2020-02-14 14:29:00,324.1099,324.1446,324.1939,324.1
40239,2020-02-14 14:28:00,324.0829,324.13,324.26,324.0829
35831,2020-02-14 14:27:00,324.02,324.0782,324.08,323.96
28948,2020-02-14 14:26:00,323.97,323.98,324.05,323.94
25396,2020-02-14 14:25:00,323.97,323.95,323.98,323.87
52993,2020-02-14 14:24:00,323.77,323.98,323.99,323.77
38625,2020-02-14 14:23:00,323.7075,323.76,323.76,323.5688
50013,2020-02-14 14:22:00,323.7087,323.7,323.8,323.62
39807,2020-02-14 14:21:00,323.58,323.71,323.7599,323.573
59537,2020-02-14 14:20:00,323.48,323.57,323.64,323.48
82867,2020-02-14 14:19:00,323.57,323.4391,323.57,323.34
54531,2020-02-14 14:18:00,323.63,323.56,323.71,323.53
49642,2020-02-14 14:17:00,323.8847,323.64,323.9276,323.58
50493,2020-02-14 14:16:00,323.86,323.8813,323.925,323.79
43665,2020-02-14 14:15:00,324.055,323.863,324.055,323.86
29776,2020-02-14 14:14:00,324.16,324.0537,324.164,324.03
24908,2020-02-14 14:13:00,324.27,324.14,324.31,324.12
21261,2020-02-14 14:12:00,324.3326,324.27,324.3326,324.23
21444,2020-02-14 14:11:00,324.27,324.34,324.37,324.16
15428,2020-02-14 14:10:00,324.215,324.26,324.26,324.21
22696,2020-02-14 14:09:00,324.2,324.23,324.2895,324.19
18556,2020-02-14 14:08:00,324.18,324.1811,324.23,324.12
28762,2020-02-14 14:07:00,324.2623,324.18,324.29,324.1601
35729,2020-02-14 14:06:00,324.42,324.25,324.44,324.25
24099,2020-02-14 14:05:00,324.3823,324.4323,324.47,324.37
27092,2020-02-14 14:04:00,324.35,324.375,324.44,324.27
26432,2020-02-14 14:03:00,324.28,324.3501,324.46,324.28
26538,2020-02-14 14:02:00,324.18,324.28,324.3199,324.17
35993,2020-02-14 14:01:00,324.081,324.19,324.24,324.0397
42550,2020-02-14 14:00:00,324.15,324.0848,324.24,324.08
38706,2020-02-14 13:59:00,324.0369,324.13,324.18,323.95
54415,2020-02-14 13:58:00,324.1557,324.06,324.2,324.06
17538,2020-02-14 13:57:00,324.27,324.18,324.27,324.17
20892,2020-02-14 13:56:00,324.32,324.28,324.33,324.2
22812,2020-02-14 13:55:00,324.35,324.3,324.38,324.22
43328,2020-02-14 13:54:00,324.55,324.332,324.57,324.23
21513,2020-02-14 13:53:00,324.45,324.51,324.56,324.44
13332,2020-02-14 13:52:00,324.51,324.43,324.51,324.43
16443,2020-02-14 13:51:00,324.43,324.5298,324.53,324.374
18238,2020-02-14 13:50:00,324.35,324.4083,324.43,324.33
27812,2020-02-14 13:49:00,324.49,324.38,324.58,324.35
28333,2020-02-14 13:48:00,324.54,324.47,324.65,324.45
15495,2020-02-14 13:47:00,324.67,324.56,324.6962,324.5492
19923,2020-02-14 13:46:00,324.72,324.65,324.76,324.639
16848,2020-02-14 13:45:00,324.75,324.74,324.83,324.72
16265,2020-02-14 13:44:00,324.71,324.7324,324.78,324.68
10535,2020-02-14 13:43:00,324.7,324.71,324.7262,324.6752
14512,2020-02-14 13:42:00,324.66,324.68,324.73,324.65
14984,2020-02-14 13:41:00,324.628,324.645,324.675,324.5953
13366,2020-02-14 13:40:00,324.6751,324.6,324.6751,324.5874
22704,2020-02-14 13:39:00,324.7061,324.6662,324.7157,324.6084
22556,2020-02-14 13:38:00,324.75,324.7176,324.83,324.6308
40440,2020-02-14 13:37:00,324.64,324.7399,324.747,324.61
22910,2020-02-14 13:36:00,324.55,324.6301,324.64,324.5333
18907,2020-02-14 13:35:00,324.35,324.53,324.55,324.3
12117,2020-02-14 13:34:00,324.23,324.3328,324.4131,324.23
16522,2020-02-14 13:33:00,324.3395,324.2153,324.37,324.2
27092,2020-02-14 13:32:00,324.2551,324.35,324.4,324.255
22456,2020-02-14 13:31:00,324.23,324.25,324.34,324.15
16858,2020-02-14 13:30:00,324.4582,324.24,324.4582,324.24
20010,2020-02-14 13:29:00,324.37,324.45,324.53,324.3689
17561,2020-02-14 13:28:00,324.3956,324.38,324.4492,324.33
33495,2020-02-14 13:27:00,324.29,324.365,324.42,324.19
45280,2020-02-14 13:26:00,324.51,324.299,324.51,324.253
17608,2020-02-14 13:25:00,324.5795,324.54,324.6,324.49
28635,2020-02-14 13:24:00,324.57,324.6,324.6494,324.5
18680,2020-02-14 13:23:00,324.4427,324.5562,324.56,324.42
37442,2020-02-14 13:22:00,324.4712,324.43,324.53,324.4
44432,2020-02-14 13:21:00,324.51,324.45,324.515,324.31
13837,2020-02-14 13:20:00,324.66,324.5092,324.66,324.5092
21679,2020-02-14 13:19:00,324.65,324.6591,324.75,324.6
24892,2020-02-14 13:18:00,324.58,324.6592,324.69,324.5
55255,2020-02-14 13:17:00,324.86,324.58,324.88,324.56
44990,2020-02-14 13:16:00,324.91,324.868,324.9554,324.84
22798,2020-02-14 13:15:00,324.98,324.905,325.0,324.88
58835,2020-02-14 13:14:00,325.05,324.99,325.09,324.91
79179,2020-02-14 13:13:00,324.71,325.03,325.04,324.71
40278,2020-02-14 13:12:00,324.62,324.69,324.81,324.53
45261,2020-02-14 13:11:00,324.52,324.63,324.73,324.515
29989,2020-02-14 13:10:00,324.43,324.52,324.52,324.42
44795,2020-02-14 13:09:00,324.6,324.45,324.65,324.38
43898,2020-02-14 13:08:00,324.74,324.61,324.74,324.59
48969,2020-02-14 13:07:00,324.6,324.77,324.8,324.55
137766,2020-02-14 13:06:00,324.7351,324.629,324.9,324.58
77414,2020-02-14 13:05:00,324.4,324.7202,324.75,324.38
28001,2020-02-14 13:04:00,324.335,324.4,324.47,324.3217
90775,2020-02-14 13:03:00,324.2299,324.32,324.33,324.16
18162,2020-02-14 13:02:00,324.09,324.2216,324.24,324.09
46604,2020-02-14 13:01:00,324.2,324.09,324.2,323.96
16497,2020-02-14 13:00:00,324.185,324.1998,324.24,324.18
43726,2020-02-14 12:59:00,324.1512,324.19,324.27,324.15
21868,2020-02-14 12:58:00,324.1004,324.16,324.24,324.1004
33445,2020-02-14 12:57:00,324.08,324.1108,324.14,324.0106
33468,2020-02-14 12:56:00,324.23,324.08,324.24,324.055
26750,2020-02-14 12:55:00,324.065,324.21,324.2208,324.0569
13422,2020-02-14 12:54:00,324.089,324.09,324.17,324.085
29283,2020-02-14 12:53:00,324.22,324.1097,324.22,324.0492
16586,2020-02-14 12:52:00,324.24,324.225,324.2701,324.2
13689,2020-02-14 12:51:00,324.32,324.26,324.334,324.25
23141,2020-02-14 12:50:00,324.3401,324.3108,324.43,324.3
16621,2020-02-14 12:49:00,324.425,324.31,324.425,324.3
11839,2020-02-14 12:48:00,324.4798,324.43,324.49,324.4101
28664,2020-02-14 12:47:00,324.38,324.48,324.54,324.3731
23486,2020-02-14 12:46:00,324.36,324.3584,324.3996,324.2792
26419,2020-02-14 12:45:00,324.42,324.3559,324.43,324.28
20521,2020-02-14 12:44:00,324.43,324.4,324.5,324.35
27626,2020-02-14 12:43:00,324.56,324.433,324.57,324.42
20813,2020-02-14 12:42:00,324.6207,324.5496,324.6207,324.5
11671,2020-02-14 12:41:00,324.66,324.6102,324.66,324.554
21538,2020-02-14 12:40:00,324.53,324.6445,324.69,324.53
18937,2020-02-14 12:39:00,324.54,324.5231,324.69,324.5231
22042,2020-02-14 12:38:00,324.55,324.5277,324.55,324.46
15710,2020-02-14 12:37:00,324.61,324.54,324.62,324.5001
12033,2020-02-14 12:36:00,324.65,324.62,324.66,324.54
19804,2020-02-14 12:35:00,324.51,324.66,324.67,324.51
13734,2020-02-14 12:34:00,324.4301,324.52,324.54,324.41
16129,2020-02-14 12:33:00,324.63,324.4599,324.63,324.45
19686,2020-02-14 12:32:00,324.59,324.62,324.7,324.5801
17181,2020-02-14 12:31:00,324.5168,324.6,324.64,324.48
19319,2020-02-14 12:30:00,324.4801,324.52,324.55,324.42
34730,2020-02-14 12:29:00,324.59,324.5,324.59,324.45
23787,2020-02-14 12:28:00,324.66,324.61,324.7,324.6001
20662,2020-02-14 12:27:00,324.6903,324.66,324.77,324.621
33104,2020-02-14 12:26:00,324.645,324.7,324.758,324.645
21705,2020-02-14 12:25:00,324.55,324.65,324.67,324.525
38542,2020-02-14 12:24:00,324.35,324.53,324.6,324.35
51686,2020-02-14 12:23:00,324.34,324.33,324.39,324.18
85794,2020-02-14 12:22:00,324.52,324.345,324.65,324.28
20478,2020-02-14 12:21:00,324.66,324.54,324.67,324.512
48812,2020-02-14 12:20:00,324.78,324.65,324.7898,324.45
15218,2020-02-14 12:19:00,324.665,324.77,324.8099,324.65
15736,2020-02-14 12:18:00,324.6956,324.655,324.72,324.65
19170,2020-02-14 12:17:00,324.75,324.69,324.77,324.65
38279,2020-02-14 12:16:00,324.64,324.7546,324.827,324.54
17175,2020-02-14 12:15:00,324.6898,324.64,324.72,324.62
30797,2020-02-14 12:14:00,324.76,324.6617,324.82,324.64
24414,2020-02-14 12:13:00,324.71,324.78,324.84,324.6301
21188,2020-02-14 12:12:00,324.8,324.7291,324.8398,324.65
25735,2020-02-14 12:11:00,324.71,324.81,324.8899,324.701
26174,2020-02-14 12:10:00,324.755,324.72,324.7976,324.6998
13500,2020-02-14 12:09:00,324.74,324.7514,324.7514,324.63
35481,2020-02-14 12:08:00,324.605,324.6636,324.72,324.51
53533,2020-02-14 12:07:00,324.847,324.59,324.847,324.45
16344,2020-02-14 12:06:00,324.72,324.835,324.835,324.699
17904,2020-02-14 12:05:00,324.87,324.7,324.8839,324.7
13573,2020-02-14 12:04:00,324.92,324.8701,324.9498,324.85
10887,2020-02-14 12:03:00,325.025,324.94,325.04,324.94
9352,2020-02-14 12:02:00,325.0754,325.02,325.09,324.98
20111,2020-02-14 12:01:00,324.97,325.03,325.1299,324.89
14323,2020-02-14 12:00:00,325.1,325.0,325.15,324.95
20326,2020-02-14 11:59:00,325.1,325.071,325.1398,325.03
39018,2020-02-14 11:58:00,325.1,325.092,325.2299,325.0637
50794,2020-02-14 11:57:00,324.9,325.09,325.13,324.9
15221,2020-02-14 11:56:00,324.9396,324.8955,324.94,324.8375
18316,2020-02-14 11:55:00,325.0,324.94,325.0,324.86
22933,2020-02-14 11:54:00,325.03,324.9899,325.04,324.91
30390,2020-02-14 11:53:00,324.9573,325.0399,325.1,324.9
45018,2020-02-14 11:52:00,324.6965,324.9348,324.98,324.6743
55539,2020-02-14 11:51:00,324.72,324.7,324.73,324.52
33996,2020-02-14 11:50:00,324.92,324.6901,324.9374,324.69
76188,2020-02-14 11:49:00,325.0152,324.9313,325.0263,324.8792
23440,2020-02-14 11:48:00,325.0248,325.02,325.0601,325.01
22546,2020-02-14 11:47:00,325.12,325.02,325.12,325.0
43817,2020-02-14 11:46:00,325.04,325.105,325.12,325.0
70771,2020-02-14 11:45:00,324.86,325.0192,325.06,324.7712
23207,2020-02-14 11:44:00,324.8901,324.8669,324.91,324.7752
32478,2020-02-14 11:43:00,324.96,324.91,324.9899,324.86
32515,2020-02-14 11:42:00,324.75,324.96,324.9899,324.72
30699,2020-02-14 11:41:00,324.71,324.735,324.85,324.625
24617,2020-02-14 11:40:00,324.75,324.7,324.79,324.66
48976,2020-02-14 11:39:00,324.8,324.7632,324.87,324.7632
17892,2020-02-14 11:38:00,324.6601,324.79,324.79,324.6557
44013,2020-02-14 11:37:00,324.8374,324.6638,324.89,324.6638
42484,2020-02-14 11:36:00,324.85,324.84,324.87,324.79
26001,2020-02-14 11:35:00,324.85,324.85,324.88,324.8379
22887,2020-02-14 11:34:00,324.9275,324.85,324.94,324.8146
91747,2020-02-14 11:33:00,324.9099,324.92,324.93,324.82
21065,2020-02-14 11:32:00,324.8889,324.91,324.97,324.85
40538,2020-02-14 11:31:00,325.08,324.88,325.08,324.8677
41624,2020-02-14 11:30:00,325.01,325.0999,325.13,324.96
26789,2020-02-14 11:29:00,325.05,325.0274,325.18,325.02
31686,2020-02-14 11:28:00,325.0997,325.06,325.14,324.98
41289,2020-02-14 11:27:00,325.085,325.1015,325.14,324.9601
35734,2020-02-14 11:26:00,325.2716,325.08,325.2716,325.06
39092,2020-02-14 11:25:00,325.285,325.2883,325.3183,325.19
41212,2020-02-14 11:24:00,325.35,325.28,325.42,325.26
23856,2020-02-14 11:23:00,325.41,325.3373,325.45,325.33
16699,2020-02-14 11:22:00,325.53,325.4101,325.5526,325.37
16293,2020-02-14 11:21:00,325.615,325.5295,325.64,325.45
21885,2020-02-14 11:20:00,325.66,325.6044,325.67,325.56
24885,2020-02-14 11:19:00,325.59,325.66,325.68,325.562
25231,2020-02-14 11:18:00,325.5,325.5613,325.64,325.5
23838,2020-02-14 11:17:00,325.5131,325.4994,325.53,325.4411
18184,2020-02-14 11:16:00,325.6,325.495,325.61,325.48
25856,2020-02-14 11:15:00,325.5836,325.59,325.665,325.56
36778,2020-02-14 11:14:00,325.51,325.6,325.61,325.5001
44822,2020-02-14 11:13:00,325.42,325.51,325.54,325.38
28463,2020-02-14 11:12:00,325.32,325.4,325.44,325.3
20907,2020-02-14 11:11:00,325.24,325.3053,325.3147,325.23
53625,2020-02-14 11:10:00,325.02,325.23,325.24,324.96
42205,2020-02-14 11:09:00,325.34,325.0198,325.35,325.0104
30013,2020-02-14 11:08:00,325.4,325.3298,325.48,325.3298
99161,2020-02-14 11:07:00,325.15,325.43,325.49,325.08
47812,2020-02-14 11:06:00,325.32,325.1711,325.356,325.1238
21974,2020-02-14 11:05:00,325.475,325.31,325.49,325.31
36058,2020-02-14 11:04:00,325.3331,325.46,325.49,325.26
37699,2020-02-14 11:03:00,325.3227,325.32,325.43,325.2991
64638,2020-02-14 11:02:00,325.5,325.3147,325.51,325.235
54020,2020-02-14 11:01:00,325.74,325.4772,325.88,325.4772
49741,2020-02-14 11:00:00,325.68,325.73,325.77,325.65
72342,2020-02-14 10:59:00,325.685,325.68,325.8,325.62
123542,2020-02-14 10:58:00,325.75,325.69,325.94,325.69
65092,2020-02-14 10:57:00,325.71,325.76,325.76,325.68
56538,2020-02-14 10:56:00,325.48,325.705,325.705,325.48
34457,2020-02-14 10:55:00,325.5799,325.47,325.6,325.41
44199,2020-02-14 10:54:00,325.6388,325.5201,325.74,325.5201
63512,2020-02-14 10:53:00,325.63,325.6338,325.73,325.6
81629,2020-02-14 10:52:00,325.45,325.6447,325.65,325.45
79811,2020-02-14 10:51:00,325.23,325.451,325.5,325.23
41574,2020-02-14 10:50:00,325.25,325.23,325.3396,325.1204
88959,2020-02-14 10:49:00,325.1862,325.25,325.34,325.1862
33269,2020-02-14 10:48:00,325.0191,325.1601,325.27,325.0191
40866,2020-02-14 10:47:00,325.16,325.0099,325.17,324.94
33900,2020-02-14 10:46:00,325.19,325.155,325.2,325.01
54682,2020-02-14 10:45:00,325.13,325.1743,325.3,325.12
43680,2020-02-14 10:44:00,325.2101,325.12,325.32,325.07
45402,2020-02-14 10:43:00,325.2308,325.2038,325.26,325.16
60256,2020-02-14 10:42:00,325.11,325.23,325.28,325.07
28175,2020-02-14 10:41:00,325.06,325.1,325.13,324.95
23523,2020-02-14 10:40:00,324.91,325.05,325.06,324.9
60927,2020-02-14 10:39:00,324.9392,324.91,325.11,324.89
59495,2020-02-14 10:38:00,325.1713,324.92,325.1713,324.91
71832,2020-02-14 10:37:00,325.01,325.1742,325.18,324.98
65034,2020-02-14 10:36:00,324.8,325.01,325.03,324.63
40492,2020-02-14 10:35:00,325.02,324.8004,325.05,324.77
99741,2020-02-14 10:34:00,324.862,325.01,325.0683,324.8
38694,2020-02-14 10:33:00,324.8761,324.84,324.9099,324.77
52638,2020-02-14 10:32:00,324.7514,324.84,324.98,324.75
50701,2020-02-14 10:31:00,324.94,324.7396,324.95,324.69
84623,2020-02-14 10:30:00,324.91,324.9276,324.96,324.7801
87868,2020-02-14 10:29:00,324.7,324.89,324.94,324.54
72003,2020-02-14 10:28:00,324.5214,324.7,324.8,324.51
82671,2020-02-14 10:27:00,324.29,324.51,324.63,324.2704
65041,2020-02-14 10:26:00,324.27,324.2455,324.3799,324.23
37427,2020-02-14 10:25:00,324.22,324.2701,324.3,324.14
73005,2020-02-14 10:24:00,324.29,324.2084,324.32,324.0806
66070,2020-02-14 10:23:00,324.31,324.2934,324.4,324.21
69982,2020-02-14 10:22:00,324.32,324.31,324.42,324.1531
136798,2020-02-14 10:21:00,324.11,324.3043,324.4607,324.1
76582,2020-02-14 10:20:00,323.955,324.115,324.15,323.8601
89845,2020-02-14 10:19:00,323.7316,323.9514,323.98,323.67
58818,2020-02-14 10:18:00,323.44,323.74,323.74,323.43
53422,2020-02-14 10:17:00,323.36,323.44,323.5699,323.36
74416,2020-02-14 10:16:00,323.26,323.3952,323.49,323.08
83343,2020-02-14 10:15:00,322.969,323.2643,323.34,322.925
111289,2020-02-14 10:14:00,323.096,322.986,323.21,322.85
85770,2020-02-14 10:13:00,323.2796,323.1,323.45,323.1
125165,2020-02-14 10:12:00,323.7196,323.28,323.74,323.21
59386,2020-02-14 10:11:00,323.9,323.7301,323.95,323.6707
36955,2020-02-14 10:10:00,323.781,323.9,323.92,323.781
61377,2020-02-14 10:09:00,323.93,323.78,323.9386,323.77
38101,2020-02-14 10:08:00,323.9006,323.91,323.98,323.79
26260,2020-02-14 10:07:00,323.95,323.9,324.0156,323.8749
46357,2020-02-14 10:06:00,323.94,323.925,324.1106,323.86
57559,2020-02-14 10:05:00,323.9,323.9597,324.08,323.82
97600,2020-02-14 10:04:00,323.7,323.8979,324.05,323.61
76929,2020-02-14 10:03:00,324.22,323.72,324.22,323.72
78444,2020-02-14 10:02:00,324.04,324.2,324.235,323.95
121049,2020-02-14 10:01:00,323.93,324.03,324.2,323.75
94982,2020-02-14 10:00:00,323.88,323.95,323.97,323.53
159006,2020-02-14 09:59:00,324.088,323.87,324.2,323.83
38679,2020-02-14 09:58:00,324.08,324.1596,324.1596,324.08
52900,2020-02-14 09:57:00,324.1218,324.058,324.1218,324.058
33838,2020-02-14 09:56:00,324.22,324.13,324.22,324.13
44967,2020-02-14 09:55:00,324.41,324.3458,324.41,324.2826
57735,2020-02-14 09:54:00,324.32,324.47,324.47,324.32
67715,2020-02-14 09:53:00,324.06,324.32,324.32,324.06
125232,2020-02-14 09:52:00,324.15,324.07,324.15,324.0327
85498,2020-02-14 09:51:00,324.4201,324.16,324.4201,324.16
56099,2020-02-14 09:50:00,324.6,324.5102,324.6,324.5102
59818,2020-02-14 09:49:00,324.54,324.7197,324.7197,324.51
72031,2020-02-14 09:48:00,324.83,324.648,324.83,324.648
48898,2020-02-14 09:47:00,324.7925,324.84,324.84,324.7925
60537,2020-02-14 09:46:00,324.55,324.83,324.83,324.55
161839,2020-02-14 09:45:00,324.85,324.51,324.85,324.51
58983,2020-02-14 09:44:00,325.03,324.89,325.03,324.89
80912,2020-02-14 09:43:00,325.0906,325.12,325.12,324.98
65972,2020-02-14 09:42:00,325.2099,325.1,325.2099,325.1
56625,2020-02-14 09:41:00,325.3461,325.37,325.37,325.3461
96247,2020-02-14 09:40:00,325.3301,325.3709,325.3709,325.3301
103050,2020-02-14 09:39:00,325.085,325.25,325.25,325.085
78162,2020-02-14 09:38:00,325.02,325.135,325.41,325.02
87588,2020-02-14 09:37:00,325.53,325.1754,325.53,325.1754
80852,2020-02-14 09:36:00,325.849,325.6923,325.849,325.6827
108849,2020-02-14 09:35:00,325.9288,325.8022,325.9288,325.8022
83258,2020-02-14 09:34:00,325.84,325.84,325.84,325.84
118346,2020-02-14 09:33:00,325.23,325.6107,325.79,325.17
76747,2020-02-14 09:32:00,324.9753,325.2103,325.4866,324.9121
