MeanAbsError,MeanError,StdError,Date
0.025241899275093158,0.005481337725058828,0.03360653222063291,2020-04-14
0.027052402949188648,0.004816313463514,0.03814445628770829,2020-04-14
0.0325727049715207,0.016224758661670436,0.03597778348690598,2020-04-14
0.031952927304225706,0.02805005856991385,0.029321544590773,2020-04-14
0.046866111282422775,0.035496506431216435,0.042889632591119616,2020-04-14
0.025794434278125042,0.012221556434975377,0.027070314567969662,2020-04-14
0.028006480577440488,-0.0073720370251657685,0.0388797866103779,2020-04-15
0.02587515614163204,0.010316561622846408,0.0327811854295051,2020-04-17
0.02942149104089128,0.014026544957431566,0.03302011617986427,2020-04-26
0.043247176500127785,0.014826986256593703,0.05097938850271786,2020-04-26
0.0452885032170428,0.03231446616777479,0.0464880793260985,2020-04-26
0.030388982245008262,0.013528293709463332,0.038921523064509585,2020-04-26
0.04037204848605954,0.03897803727166297,0.027793735507374462,2020-04-26
0.03092516853723158,0.012129379935728804,0.03498110429661798,2020-04-26
0.030692049797313683,0.021630941011480248,0.035822602212944976,2020-04-26
0.03543158451010426,0.00848788239061983,0.04385004125385508,2020-04-26
0.03847864054440511,0.02814471570334549,0.03597287707595176,2020-04-26
0.031924583630372365,0.026989596916193584,0.03369661723025411,2020-04-26
0.03224001263616938,0.02835752006560172,0.03367376354713173,2020-04-26
0.02238712827439938,-0.007827688200733622,0.02819143409672647,2020-04-26
0.0225937663938136,0.010549134638696521,0.02634684464201072,2020-04-26
0.03231551519441487,0.0172179640313303,0.04097566187660137,2020-04-26
0.039628312574465606,0.023998429668662242,0.04868386272297878,2020-04-26
0.04324071063603373,0.038892741980089095,0.033327114512768534,2020-04-26
0.02781638584074971,-0.0027364558686066944,0.03588803980732153,2020-04-26
0.028638443636053612,0.009657447256519574,0.03542647836562735,2020-04-26
0.030248772764257654,0.022575474355426173,0.03309378652163741,2020-04-26
