volume,high,time,close,open,low
112627,153.4800,2020-03-09 15:11:00,153.0400,153.4800,152.8500
115204,153.8400,2020-03-09 15:10:00,153.4400,153.6202,153.1600
112637,153.8000,2020-03-09 15:09:00,153.6200,153.2576,153.0000
100310,153.6900,2020-03-09 15:08:00,153.2600,153.5000,153.1695
109882,154.1400,2020-03-09 15:07:00,153.4500,153.7700,153.1400
74455,154.1400,2020-03-09 15:06:00,153.7700,154.0800,153.6200
169764,154.3600,2020-03-09 15:05:00,154.0500,153.4700,153.3700
90241,153.5200,2020-03-09 15:04:00,153.4800,152.8800,152.6900
101611,153.1100,2020-03-09 15:03:00,152.8700,153.0200,152.6100
115480,153.6300,2020-03-09 15:02:00,153.0100,153.2500,152.8000
109945,153.5000,2020-03-09 15:01:00,153.2500,153.0800,153.0000
74199,153.8300,2020-03-09 15:00:00,153.0548,153.6100,153.0500
102400,153.8000,2020-03-09 14:59:00,153.6500,153.6500,153.5400
135623,153.9800,2020-03-09 14:58:00,153.6898,153.3400,153.3400
128616,153.7600,2020-03-09 14:57:00,153.2800,153.5900,153.0700
133963,153.6600,2020-03-09 14:56:00,153.6200,153.5200,153.2700
133669,153.8000,2020-03-09 14:55:00,153.5400,153.5200,153.1500
107635,153.5300,2020-03-09 14:54:00,153.5000,152.9900,152.9900
93452,153.2000,2020-03-09 14:53:00,153.0300,153.0642,152.9900
133834,153.5800,2020-03-09 14:52:00,153.0742,153.1300,153.0400
103217,153.2400,2020-03-09 14:51:00,153.1600,152.0150,152.0100
76567,152.2400,2020-03-09 14:50:00,152.0000,152.0500,151.8900
89975,152.6700,2020-03-09 14:49:00,152.0700,152.5950,152.0400
117948,152.7900,2020-03-09 14:48:00,152.6000,152.2421,152.1754
112732,152.3000,2020-03-09 14:47:00,152.2200,151.5294,151.5153
91210,151.6700,2020-03-09 14:46:00,151.5400,151.6000,151.4000
127437,151.7100,2020-03-09 14:45:00,151.5498,151.6130,151.3200
120439,151.7500,2020-03-09 14:44:00,151.6000,151.6400,151.3600
112211,151.9800,2020-03-09 14:43:00,151.6400,151.8500,151.6400
120452,152.3300,2020-03-09 14:42:00,151.8855,152.3142,151.8500
91174,152.9100,2020-03-09 14:41:00,152.3050,152.7400,152.2400
152563,153.0900,2020-03-09 14:40:00,152.7850,152.3370,152.3370
99178,152.3700,2020-03-09 14:39:00,152.3700,151.9550,151.6700
