MeanAbsError,MeanError,StdError,Date
0.03124120748726902,0.01693883359624127,0.04208962353618256,2020-04-14
0.030931137920889893,0.006576184280131618,0.0436197223956133,2020-04-14
0.033406282406656516,0.01862745694532567,0.04344368047877576,2020-04-14
0.0474851076222766,0.04215009586422635,0.03950239122341218,2020-04-14
0.03416950945936887,0.02170732994411693,0.04161644200725414,2020-04-14
0.028326958957520118,0.027267092773582385,0.02811701893686591,2020-04-14
0.02607304373786368,0.011829616494097441,0.04015172954696675,2020-04-15
0.03587204297303771,0.0106352244598193,0.04797968132901148,2020-04-17
0.03494037489209557,0.02050314774074859,0.04341490297415925,2020-04-26
0.02092341787347125,0.012747098703667246,0.02253599070493908,2020-04-26
0.039661791984737765,0.021282005905874063,0.04582880237474594,2020-04-26
0.03279779534556467,0.015944883231858338,0.041257145919372164,2020-04-26
0.02592362310081536,-0.006836646794198003,0.03430925736632102,2020-04-26
0.024008503857300075,0.013729283429808283,0.0254481282344048,2020-04-26
