MeanAbsError,MeanError,StdError,Date
0.03215655062924904,0.003171461448657456,0.03842251155125154,2020-04-14
0.04353881513973818,0.0427341298037368,0.026312717950686945,2020-04-14
0.0396934585090916,0.014741337672068797,0.05593321555215442,2020-04-14
0.041842279645502516,0.024650911184977423,0.04818146380989957,2020-04-14
0.035388760450253166,0.031182121777638974,0.03461727351002235,2020-04-14
0.06453454359456046,0.06437596694980728,0.03423058562897571,2020-04-14
0.03767172806592135,0.02363558431767615,0.04639604225530016,2020-04-15
0.03296918045614322,0.007698197575936045,0.04880915938777145,2020-04-17
0.05351328593371694,0.04258639431796151,0.049063840254314456,2020-04-26
0.03667923700811423,0.017896814823497722,0.04853150088685101,2020-04-26
0.029341480050697175,0.0204490526868308,0.042096927751400885,2020-04-26
0.03271450344653637,-0.0014241299706342168,0.03986085955567871,2020-04-26
0.030491565753832595,0.01701486873098516,0.037056222807465414,2020-04-26
0.030468488172660093,0.022180461714498247,0.03403330083410101,2020-04-26
0.03923850722891473,0.029642887769428236,0.04444686299859346,2020-04-26
0.033063582837442394,0.01892131608210557,0.05117587126216413,2020-04-26
0.033648276324146124,0.005521383965313712,0.04876169858050906,2020-04-26
0.03551593137037105,0.024548741206170063,0.04976531526934378,2020-04-26
0.03822213952414382,0.02045925319992032,0.04920224444754335,2020-04-26
0.03238000699998032,0.01941438975683274,0.04087860139969653,2020-04-26
0.14876619271908534,0.14876619271908534,0.0367988666671746,2020-04-26
