MeanAbsError,MeanError,StdError,Date
0.025028221450932787,0.015264951201298876,0.03485082329524282,2020-04-14
0.017953385477462364,0.006544910166359609,0.02567368536969272,2020-04-14
0.024488608941921924,0.019274589582512432,0.023909662557275085,2020-04-14
0.01935911773679646,0.0014112510092953196,0.025381158353364814,2020-04-14
0.025320466461390048,0.0152371496253784,0.029138800966357827,2020-04-14
0.0253344304222988,0.013453299959649062,0.029856707778339445,2020-04-14
0.02674031467908657,0.015692232539108047,0.030709132526268005,2020-04-15
0.02509124019630684,0.01899029125719985,0.028512974802948333,2020-04-17
0.03519027270549417,0.015335886138666687,0.04081589435725082,2020-04-26
0.0280269206827802,0.017306680956229163,0.03158472386835244,2020-04-26
0.024334611991434642,0.0163592321098505,0.031249819880207776,2020-04-26
0.028419758976133688,0.02221396647810025,0.02876044157357745,2020-04-26
0.024066179521506026,0.015183240343692126,0.027497852099147933,2020-04-26
0.024167622269419885,0.01691754852083836,0.026508855089731533,2020-04-26
0.018100457145621068,-0.0007653060600966351,0.024094907210996136,2020-04-26
0.025284733180331087,0.020779403280497332,0.02495602929117789,2020-04-26
0.021033288705379863,0.01301004189103149,0.022881711666001645,2020-04-26
0.03229776945076185,0.027424237925508327,0.02843642878375757,2020-04-26
0.02105900434472896,0.007666929192896414,0.026146540217832845,2020-04-26
0.02430935884134609,0.016548514635266336,0.02642420670811889,2020-04-26
0.02842028180575074,0.019501969872014528,0.03329389327672535,2020-04-26
0.030997414697595614,0.028275995870930614,0.03027959943554638,2020-04-26
0.029211623167844362,0.021028173574662086,0.029121271860938762,2020-04-26
0.01859455753536476,0.005788379040262158,0.02309077569522179,2020-04-26
0.01628508313479601,-0.002572641720669849,0.020699524001120385,2020-04-26
0.02538859791429531,0.022733386014001426,0.025943231400324826,2020-04-26
0.03043296672237135,0.026536823675658967,0.02479348707662661,2020-04-26
0.026992316383311385,0.01257308855441007,0.03352183915121942,2020-04-26
0.02337801186623633,0.00952761166356606,0.027215387379109147,2020-04-26
0.02826370136458743,0.005914104311526493,0.03699081209118755,2020-04-26
